#Sensor_Caliente,Sensor_Frio
59.69,17.44
59.63,17.56
59.56,17.75
59.44,17.94
59.31,18.06
59.19,18.25
59.0,18.37
58.88,18.56
58.75,18.69
58.56,18.87
58.38,19.0
58.25,19.19
58.06,19.31
57.88,19.5
57.69,19.56
57.5,19.69
57.31,19.87
57.19,19.94
56.94,20.12
56.81,20.25
56.56,20.37
56.44,20.5
56.19,20.69
56.06,20.81
55.88,20.94
55.69,21.06
55.5,21.12
55.31,21.25
55.19,21.44
55.0,21.5
54.81,21.69
54.63,21.75
54.44,21.87
54.25,22.0
54.13,22.19
53.94,22.25
53.75,22.31
53.63,22.44
53.44,22.56
53.31,22.62
53.13,22.75
52.94,22.81
52.75,23.0
52.63,23.06
52.44,23.12
52.31,23.25
52.13,23.37
52.0,23.44
51.81,23.56
51.69,23.69
51.5,23.75
51.38,23.87
51.25,23.94
51.06,24.06
50.88,24.12
50.75,24.25
50.63,24.31
50.44,24.44
50.38,24.5
50.19,24.56
50.06,24.62
49.94,24.75
49.81,24.87
49.63,24.87
49.5,24.94
49.38,25.12
49.25,25.12
49.06,25.25
48.94,25.31
48.81,25.44
48.69,25.5
48.63,25.56
48.44,25.62
48.31,25.69
48.19,25.81
48.06,25.81
47.94,25.94
47.88,25.94
47.75,26.12
47.63,26.12
47.5,26.25
47.38,26.25
47.25,26.37
47.13,26.5
47.0,26.5
46.94,26.56
46.81,26.56
46.69,26.62
46.56,26.75
46.5,26.81
46.38,26.87
46.25,26.94
46.19,27.0
46.06,27.06
46.0,27.12
45.88,27.19
45.75,27.25
45.63,27.31
45.56,27.37
45.44,27.37
45.31,27.5
45.25,27.56
45.13,27.62
45.0,27.69
44.94,27.69
44.81,27.75
44.75,27.81
44.69,27.87
44.56,27.87
44.44,28.0
44.38,28.06
44.31,28.12
44.19,28.12
44.13,28.19
44.0,28.19
43.94,28.25
43.81,28.37
43.75,28.37
43.69,28.44
43.56,28.5
43.5,28.5
43.44,28.56
43.38,28.62
43.25,28.69
43.13,28.69
43.13,28.75
43.0,28.75
42.94,28.87
42.88,28.87
42.75,28.94
42.69,28.94
42.63,29.0
42.5,29.12
42.44,29.06
42.38,29.12
42.31,29.19
42.25,29.25
42.19,29.25
42.13,29.31
42.06,29.31
41.94,29.37
41.88,29.44
41.81,29.44
41.75,29.44
41.69,29.5
41.63,29.56
41.56,29.56
41.44,29.69
41.44,29.69
41.38,29.69
41.25,29.75
41.19,29.75
41.19,29.81
41.06,29.81
41.0,29.87
40.94,29.94
40.88,29.94
40.81,29.94
40.81,30.0
40.75,30.06
40.69,30.06
40.56,30.06
40.5,30.12
40.5,30.12
40.44,30.25
40.31,30.19
