#Sensor_Frio,Sensor_Caliente
14.31,55.44
14.50,55.38
14.63,55.31
14.81,55.31
15.00,55.19
15.19,55.13
15.38,55.06
15.56,55.00
15.75,54.88
15.94,54.81
16.19,54.75
16.37,54.63
16.56,54.56
16.75,54.44
16.94,54.38
17.19,54.31
17.37,54.25
17.50,54.13
17.75,54.06
17.94,53.94
18.06,53.88
18.31,53.81
18.50,53.69
18.69,53.63
18.87,53.56
19.06,53.44
19.19,53.38
19.37,53.31
19.56,53.19
19.75,53.13
19.94,53.06
20.06,52.94
20.25,52.88
20.44,52.75
20.56,52.69
20.75,52.63
20.94,52.56
21.12,52.50
21.25,52.38
21.44,52.31
21.56,52.19
21.69,52.13
21.87,52.06
22.06,51.94
22.19,51.94
22.37,51.81
22.50,51.75
22.56,51.69
22.75,51.63
22.87,51.50
23.00,51.44
23.19,51.38
23.31,51.25
23.44,51.25
23.56,51.13
23.69,51.06
23.81,51.00
23.94,50.88
24.06,50.81
24.25,50.75
24.37,50.63
24.44,50.63
24.56,50.56
24.69,50.50
24.81,50.44
24.94,50.31
25.06,50.25
25.25,50.19
25.31,50.06
25.44,50.06
25.56,50.00
25.62,49.94
25.81,49.81
25.87,49.75
26.00,49.69
26.12,49.63
26.19,49.56
26.31,49.50
26.44,49.44
26.50,49.38
26.62,49.31
26.75,49.19
26.81,49.19
26.94,49.13
27.00,49.06
27.12,49.00
27.25,48.94
27.31,48.88
27.44,48.81
27.50,48.75
27.56,48.69
27.69,48.63
27.81,48.56
27.87,48.56
28.00,48.44
28.06,48.44
28.19,48.38
28.25,48.31
28.31,48.25
28.44,48.19
28.50,48.13
28.62,48.06
28.69,48.00
28.75,48.00
28.87,47.94
28.87,47.88
29.00,47.81
29.06,47.75
29.19,47.69
29.25,47.69
29.31,47.63
29.44,47.56
29.50,47.50
29.56,47.44
29.62,47.31
29.69,47.31
29.81,47.31
29.87,47.25
29.94,47.19
30.00,47.13
30.06,47.06
30.12,47.06
30.25,47.00
30.25,46.94
30.31,46.88
30.44,46.81
30.50,46.81
30.56,46.75
30.62,46.69
30.69,46.69
30.75,46.63
30.81,46.56
30.94,46.50
30.94,46.50
31.00,46.44
31.06,46.38
31.12,46.31
31.19,46.31
31.25,46.25
31.31,46.25
31.37,46.19
31.44,46.19
31.50,46.06
31.56,46.06
31.62,46.00
31.69,46.00
31.75,45.94
31.75,45.88
31.81,45.88
31.94,45.81
31.94,45.81
32.00,45.75
32.06,45.69
32.13,45.63
32.13,45.63
32.25,45.56
32.25,45.56
32.31,45.50
32.38,45.50
32.38,45.44
32.44,45.44
32.50,45.38
32.56,45.31
32.63,45.31
32.69,45.25
32.69,45.25
32.75,45.19
32.81,45.13
32.88,45.13
32.88,45.06
32.94,45.06
33.00,45.00
33.00,45.00
33.06,44.94
33.13,44.94
33.19,44.88
33.19,44.81
33.25,44.81
33.25,44.81
33.31,44.69
33.38,44.69
33.38,44.69
33.44,44.69
33.50,44.63
33.56,44.56
33.56,44.50
33.63,44.50
33.63,44.50
33.69,44.44
33.75,44.44
33.81,44.38
33.81,44.38
33.81,44.31
33.88,44.31
33.94,44.25
33.94,44.25
33.94,44.19
34.00,44.19
34.06,44.13
34.06,44.06
34.13,44.06
34.19,44.06
34.19,44.00
34.25,44.00
34.31,43.94
34.31,43.94
34.38,43.94
34.38,43.88
34.38,43.88
34.44,43.81
34.50,43.81
34.50,43.75
34.50,43.75
34.56,43.69
34.56,43.69
34.63,43.63
34.63,43.63
34.69,43.56
34.69,43.56
34.75,43.56
34.75,43.56
34.81,43.50
34.81,43.50
34.81,43.44
34.88,43.44
34.88,43.44
34.88,43.38
34.94,43.38
35.00,43.31
35.00,43.31
35.00,43.25
35.06,43.25
35.06,43.25
35.13,43.25
35.13,43.19
35.19,43.13
35.25,43.13
35.19,43.13
35.19,43.13
35.25,43.06
35.31,43.06
35.31,43.00
35.38,43.00
35.38,43.00
35.38,42.94
35.38,42.94
35.44,42.88
35.44,42.88
35.50,42.88
35.50,42.88
35.50,42.81
35.50,42.81
35.56,42.75
35.56,42.75
35.56,42.75
35.63,42.75
35.63,42.69
35.63,42.69
35.69,42.69
35.69,42.63
35.75,42.63
35.75,42.63
35.69,42.56
35.75,42.56
35.75,42.56
35.81,42.50
35.81,42.50
35.81,42.44
35.81,42.44
35.88,42.44
35.88,42.44
35.94,42.38
35.94,42.38
36.00,42.38
36.00,42.31
35.94,42.31
35.94,42.25
36.00,42.25
36.00,42.25
36.00,42.25
36.06,42.19
36.06,42.25
36.06,42.19
36.13,42.13
36.13,42.13
36.13,42.13
36.13,42.06
36.19,42.06
36.19,42.06
36.19,42.00
36.19,42.00
36.25,42.00
36.25,42.00
36.25,41.94
36.25,41.94
36.25,41.94
36.31,41.88
36.31,41.88
36.31,41.88
36.31,41.88
36.31,41.81
36.38,41.81
36.38,41.81
36.38,41.75
36.38,41.75
36.38,41.75
36.38,41.75
36.44,41.69
36.44,41.69
36.44,41.69
36.44,41.69
36.44,41.63
36.44,41.63
36.50,41.63
36.50,41.56
36.50,41.56
36.56,41.56
36.56,41.56
36.56,41.56
36.56,41.50
36.56,41.50
36.56,41.50
36.56,41.44
36.63,41.44
36.63,41.44
36.63,41.44
36.63,41.38
36.63,41.44
36.63,41.38
36.69,41.38
36.69,41.31
36.69,41.31
36.63,41.31
36.69,41.31
36.69,41.31
36.75,41.25
36.69,41.25
36.75,41.25
36.75,41.25
36.75,41.19
36.75,41.19
36.75,41.19
36.75,41.13
36.81,41.19
36.75,41.13
36.75,41.13
36.75,41.13
36.81,41.13
36.81,41.06
36.81,41.06
36.81,41.00
36.81,41.00
36.81,41.00
36.81,41.00
36.88,41.00
36.81,41.00
36.88,40.94
36.88,40.94
36.88,40.94
36.88,40.88
36.88,40.94
36.88,40.88
36.88,40.88
36.88,40.88
36.88,40.81
36.94,40.81
36.88,40.81
36.94,40.75
36.94,40.81
37.00,40.75
36.94,40.75
36.94,40.75
36.94,40.75
36.94,40.69
37.00,40.69
37.00,40.69
37.00,40.69
37.00,40.69
37.00,40.69
37.00,40.63
37.00,40.63
37.00,40.63
37.00,40.63
37.00,40.56
37.00,40.56
36.94,40.56
36.94,40.56
36.94,40.50
36.94,40.56
37.00,40.50
37.00,40.50
36.94,40.50
37.00,40.50
37.06,40.44
37.13,40.44
37.19,40.44
37.13,40.44
37.13,40.44
37.06,40.44
37.13,40.38
37.06,40.38
37.13,40.38
37.06,40.38
36.94,40.31
36.94,40.31
36.94,40.25
37.00,40.25
37.06,40.25
36.75,40.25
36.44,40.25
36.38,40.25
36.44,40.19
36.63,40.19
36.69,40.19
36.88,40.19
37.00,40.13
37.06,40.13
37.19,40.13
37.31,40.13
37.31,40.06
37.31,40.06
37.38,40.06
37.38,40.00
37.38,39.94
37.38,39.94
37.38,39.88
37.38,39.88
37.38,39.88
37.38,39.88
37.31,39.88
37.31,39.88
37.38,39.88
37.38,39.88
37.38,39.81
37.31,39.81
37.31,39.81
37.31,39.88
37.31,39.81
37.31,39.81
37.31,39.81
37.31,39.81
37.31,39.81
37.25,39.75
37.25,39.75
37.25,39.75
37.25,39.69
37.31,39.69
37.25,39.69
37.25,39.69
37.25,39.69
37.19,39.69
37.19,39.63
37.19,39.69
37.19,39.63
37.19,39.63
37.19,39.56
37.19,39.56
37.19,39.56
37.19,39.50
37.19,39.56
37.19,39.56
37.19,39.50
37.19,39.50
37.19,39.50
37.19,39.44
37.13,39.50
37.13,39.44
37.13,39.44
37.13,39.44
37.13,39.44
37.13,39.38
37.13,39.44
37.13,39.38
37.06,39.38
37.06,39.38
37.06,39.38
37.06,39.31
37.13,39.31
37.06,39.31
37.06,39.25
37.06,39.25
37.06,39.25
37.06,39.25
37.13,39.25
36.88,39.25
36.50,39.25
36.75,39.25
36.81,39.25
36.88,39.19
36.94,39.19
37.06,39.19
37.19,39.19
37.25,39.19
37.38,39.19
37.44,39.13
37.50,39.13
37.56,39.13
37.63,39.06
37.69,39.13
37.69,39.06
37.69,39.06
37.75,39.06
37.75,39.00
37.75,39.00
37.75,39.00
37.75,39.00
37.69,39.00
37.69,39.00
37.69,39.00
37.75,38.94
37.69,38.94
37.69,38.94
37.75,38.94
37.75,38.88
37.69,38.88
37.75,38.88
37.69,38.88
37.69,38.88
37.69,38.81
37.75,38.81
37.69,38.81
37.69,38.81
37.69,38.81
37.69,38.81
