#k_1,k_2,k_12,SigmaSquared_k1,SigmaSquared_k2,SigmaSquared_k12,Semillas,Error_MC,Datos
0.001159503005756596,0.0004590165101651682,0.0036088321522059438,2.6690400504529257e-10,1.1187084391639758e-09,8.946180566807008e-10,417680,0.5,506
0.0009207192593066697,0.0005085632497648919,0.003754599258506167,1.9720082133802496e-10,8.588696352216909e-10,6.830965960683986e-10,885192,Nada,Nada
0.0012148112089893283,0.0003609605323224521,0.0034030069144677655,2.6266677657029356e-10,1.0861051122371127e-09,8.749753059665448e-10,993560,Nada,Nada
0.0010868162849060597,0.0004902471690536501,0.0036994451345503687,2.4014506603207044e-10,1.0120067480469349e-09,8.18366325215724e-10,630712,Nada,Nada
0.0012235694221082762,0.0004545536145552964,0.0035204525144260897,2.857842142429352e-10,1.1789832824562917e-09,9.557067534669712e-10,725670,Nada,Nada
0.001270148312997362,0.0003699205789680763,0.0034612979581423557,3.064725743984263e-10,1.2489410631487823e-09,1.019585043448314e-09,749789,Nada,Nada
0.0009327781571102737,0.0005909322243454801,0.003953610745646831,2.2106301085435536e-10,9.63374050457157e-10,7.660572422802491e-10,352926,Nada,Nada
0.0012175640570058848,0.0003982651018748505,0.0034611460023582156,2.875277693734087e-10,1.1881216671009814e-09,9.59624798747847e-10,941084,Nada,Nada
0.0011329498888277452,0.00036871022805223244,0.0033725976431138384,2.2714612118769032e-10,9.470562510802998e-10,7.672709360914433e-10,33206,Nada,Nada
0.0011413238454584128,0.0004983153980899884,0.003659387569737759,2.695220099554456e-10,1.1270484092790458e-09,9.142142005179046e-10,543609,Nada,Nada
0.0011664890577521468,0.00045146831960160485,0.003572587630704916,2.614133109495444e-10,1.09148347961923e-09,8.768050059214474e-10,509171,Nada,Nada
0.001010609603865063,0.0004764458636730327,0.003646514690409966,2.028509481000962e-10,8.656608889773209e-10,6.975968997049166e-10,663828,Nada,Nada
0.001181689155771816,0.00038419149014153525,0.0033815216025334374,2.626017139235213e-10,1.0931919782239493e-09,8.794319849909636e-10,925442,Nada,Nada
0.0010076684719491117,0.0005348954505111028,0.0037465154391283116,2.2786085524144214e-10,9.741855854349917e-10,7.853812503130997e-10,848698,Nada,Nada
0.0012933929660994678,0.00038694727735452716,0.0033383862524608123,3.147167499196825e-10,1.2857314030976114e-09,1.038986278057607e-09,230247,Nada,Nada
0.0012270448515921406,0.00032527171036217666,0.003269713471936628,2.661737358612873e-10,1.0934120207607321e-09,8.891899422459917e-10,537001,Nada,Nada
0.0011560962966483223,0.0004420334779135206,0.0035972143001499314,2.529976894076258e-10,1.0575694588756078e-09,8.51226655183971e-10,409047,Nada,Nada
