#k_1,k_2,k_12,SigmaSquared_k1,SigmaSquared_k2,SigmaSquared_k12,Semillas,Error_MC,Datos
0.0010116631711835752,0.0004418859791751066,0.0036816715376537575,1.7777881034645576e-10,8.210447718850682e-10,5.700423097359005e-10,777128,0.5,523
0.0011484856927677406,0.0004106945854629661,0.003490842554202952,1.9736634950763174e-10,8.904349598411219e-10,6.197970811868171e-10,597104,Nada,Nada
0.0011802950281493765,0.0003965452348617665,0.003483479966463944,2.1342351112919524e-10,9.624824948729656e-10,6.644055641617146e-10,630313,Nada,Nada
0.001286442423200081,0.0004114433082334411,0.0034195909889743444,2.7928723726370435e-10,1.2235327501300345e-09,8.652565688589695e-10,240476,Nada,Nada
0.001040945081600504,0.0004036292550338184,0.0035177736048648996,1.6350396322149188e-10,7.559981364188886e-10,5.168488542463319e-10,70697,Nada,Nada
0.0010922171680100804,0.0004080591286013271,0.003524172157550932,1.789422854346926e-10,8.262253472382505e-10,5.605130237064522e-10,877525,Nada,Nada
0.001029799831767067,0.00045555598716199284,0.0036120678176065797,1.7121796056108516e-10,7.930245329699699e-10,5.449884578587505e-10,936721,Nada,Nada
0.0010819901930030267,0.00039984471766355754,0.003571631897106049,1.7674168149793311e-10,8.129731688538948e-10,5.556639681677958e-10,725450,Nada,Nada
0.0008591622815490854,0.0005253929434988897,0.003789647218212619,1.66389362602612e-10,7.974049123952344e-10,5.427980339746979e-10,570938,Nada,Nada
0.000986023853445998,0.00047181162836588145,0.003609765277293987,1.867309750750074e-10,8.684385133984979e-10,6.002971213214857e-10,759857,Nada,Nada
0.001112614396199991,0.0004473298848271863,0.003588821303185864,1.942820262140311e-10,8.909259289628525e-10,6.086462389633967e-10,668337,Nada,Nada
0.0007300762918067349,0.0005569074750987257,0.0038567652593967106,1.933361748694006e-10,9.495344252067072e-10,6.403542672651097e-10,129161,Nada,Nada
0.0011845260896376324,0.0004143343329064156,0.003522601964368621,2.1158192413597004e-10,9.576515531409406e-10,6.561055590810832e-10,621253,Nada,Nada
0.0010220715546056763,0.0004950256614088435,0.003758274760361191,1.9673290541235224e-10,9.040089809377595e-10,6.336963166260982e-10,205832,Nada,Nada
0.001090283743586343,0.000463983020692964,0.0036475209695709995,1.9217143371854413e-10,8.79958797073094e-10,6.076750393561725e-10,373929,Nada,Nada
0.0010823357290061905,0.0004480069992746884,0.003642353199438819,1.8810175945492746e-10,8.63823400955785e-10,5.95148903174879e-10,330226,Nada,Nada
0.001080187673877615,0.0004826217063276285,0.003637861126121696,1.854460501580612e-10,8.478902321219517e-10,5.899728903476737e-10,621059,Nada,Nada
0.0010774104769025637,0.00041512759961623806,0.003533532915856091,1.661150922144716e-10,7.641888723118101e-10,5.239513946045592e-10,390586,Nada,Nada
0.0012774384913806743,0.00030092266831466377,0.0032221757886839427,2.481786730200218e-10,1.0921562592032288e-09,7.637521985649545e-10,706323,Nada,Nada
0.0009675680467621541,0.00042033585193377925,0.0035841796378098868,1.6683897454451082e-10,7.788752709868374e-10,5.348459840187631e-10,464424,Nada,Nada
0.0008754283142008471,0.0004872310683645149,0.0037151832173514896,1.7815891820548484e-10,8.536602156623102e-10,5.770670221110409e-10,343868,Nada,Nada
0.0012358750942306266,0.00038351122628554977,0.003444980796548723,2.438001684965621e-10,1.0809586083946651e-09,7.549785918777938e-10,880166,Nada,Nada
0.0009758247923876515,0.00047067179171556597,0.003636770284341235,1.7875317512619597e-10,8.355013890880326e-10,5.745058518667438e-10,72102,Nada,Nada
0.0011874856177544269,0.0004392899150403323,0.0036045147747614556,2.305320773758129e-10,1.0376588090859567e-09,7.191700967252016e-10,161514,Nada,Nada
0.001183950281139736,0.0003594688374674292,0.003404161555713994,1.9876598633521856e-10,8.973875865990714e-10,6.16941699887686e-10,498008,Nada,Nada
0.0009045719420753885,0.0004913749171117006,0.0036416536400138717,1.6480574307864177e-10,7.896218162678801e-10,5.296307385761666e-10,41343,Nada,Nada
0.0009534884988261516,0.0004742063957109031,0.003705157026593766,1.617248075799991e-10,7.614006344967533e-10,5.202093460936538e-10,853665,Nada,Nada
0.0012124760555646133,0.00037304370042410504,0.0034500100600063873,2.4185954758524663e-10,1.086472748023874e-09,7.473847330157159e-10,833496,Nada,Nada
0.0009101581705680142,0.0005226765616571304,0.0038475231571361633,1.6654942774548915e-10,7.796038870283868e-10,5.454585763446182e-10,472628,Nada,Nada
0.0009373454332060865,0.00047180974656433754,0.0036772092872987758,1.7057038653695012e-10,8.061159555824542e-10,5.498797088419237e-10,507614,Nada,Nada
0.001173322242334974,0.00046133370089064687,0.003622775405316743,2.3213341557142926e-10,1.0374104631716407e-09,7.315431897121683e-10,846212,Nada,Nada
0.001091055545468281,0.0004499574596064513,0.0036229269595524504,1.9517016189384133e-10,8.931999788875708e-10,6.164352287049296e-10,382385,Nada,Nada
